Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
KMT2D	11	3	1	0	5	0	0	0	20	20	20
TP53	8	2	0	0	2	0	6	0	18	17	17
KMT2C	7	2	0	0	5	0	1	0	15	13	13
FOXA1	2	0	11	0	0	1	0	0	14	13	13
PTEN	5	5	1	0	1	0	1	0	13	13	13
TTN	2	5	0	0	5	0	1	0	13	9	9
ZFHX3	3	2	0	0	4	0	0	0	9	9	9
APC	2	1	0	0	5	0	0	0	8	8	8
CDK12	4	2	0	0	3	0	1	0	10	7	7
CSMD3	1	0	0	0	3	0	3	0	7	7	7
CDKN1B	1	2	0	0	3	0	0	0	6	6	6
ATM	4	0	1	0	0	0	0	0	5	5	5
BRCA2	3	2	0	0	0	0	0	0	5	5	5
CASZ1	4	1	0	0	0	0	0	0	5	5	5
ERF	4	1	0	0	0	0	0	0	5	5	5
KDM6A	1	1	0	0	1	0	2	0	5	5	5
LAMA3	1	0	0	0	3	0	1	0	5	5	5
NCOR1	2	1	1	0	1	0	0	0	5	5	5
SMARCA1	1	2	0	0	1	0	1	0	5	5	5
ZMYM3	2	0	0	0	2	0	1	0	5	5	5
KMT2A	1	2	0	0	2	0	0	0	5	4	4
ABCA13	1	1	0	0	2	0	0	0	4	4	4
ARID2	4	0	0	0	0	0	0	0	4	4	4
ASH1L	0	1	0	0	3	0	0	0	4	4	4
CHD1	1	1	0	0	2	0	0	0	4	4	4
CHD6	0	1	1	1	1	0	0	0	4	4	4
CUBN	1	0	1	0	2	0	0	0	4	4	4
ITPR2	3	1	0	0	0	0	0	0	4	4	4
MYO3A	0	0	0	0	4	0	0	0	4	4	4
PCNXL2	0	0	0	0	3	0	1	0	4	4	4
RANBP2	3	0	0	0	1	0	0	0	4	4	4
SETD2	1	1	0	0	2	0	0	0	4	4	4
TRAPPC8	2	0	1	0	0	0	1	0	4	4	4
USP28	0	0	0	1	2	0	1	0	4	4	4
ZNF292	2	0	0	0	2	0	0	0	4	4	4
MUC16	1	1	0	0	2	0	0	0	4	3	3
SACS	3	0	1	0	0	0	0	0	4	3	3
AGL	0	1	1	0	1	0	0	0	3	3	3
ANK3	0	2	0	0	1	0	0	0	3	3	3
ANKRD30A	0	0	1	0	2	0	0	0	3	3	3
BCHE	1	1	0	0	1	0	0	0	3	3	3
C1orf173	0	1	0	0	1	0	1	0	3	3	3
CHD3	0	2	0	0	1	0	0	0	3	3	3
CHRNA6	2	0	0	0	1	0	0	0	3	3	3
CNTN6	1	1	0	0	1	0	0	0	3	3	3
COL5A3	0	1	0	0	2	0	0	0	3	3	3
DMTF1	1	1	1	0	0	0	0	0	3	3	3
DMXL1	1	1	0	0	1	0	0	0	3	3	3
DOPEY1	1	0	0	0	2	0	0	0	3	3	3
DYRK1B	2	0	0	0	1	0	0	0	3	3	3
FOXP1	0	0	0	1	2	0	0	0	3	3	3
HERC2	1	0	0	0	1	0	1	0	3	3	3
IL6ST	2	0	0	0	0	0	1	0	3	3	3
KAL1	1	0	0	0	2	0	0	0	3	3	3
KAT6B	1	0	0	0	2	0	0	0	3	3	3
LAMA2	0	0	1	0	1	0	1	0	3	3	3
MGA	2	0	0	0	1	0	0	0	3	3	3
NUP160	1	0	0	0	2	0	0	0	3	3	3
RNF31	2	1	0	0	0	0	0	0	3	3	3
RNF43	1	0	0	0	2	0	0	0	3	3	3
RYR3	0	0	0	0	3	0	0	0	3	3	3
SPEN	2	0	0	0	1	0	0	0	3	3	3
SYNE1	0	1	0	0	2	0	0	0	3	3	3
TMPRSS2	0	1	1	0	1	0	0	0	3	3	3
TP53BP1	1	0	0	0	2	0	0	0	3	3	3
UBR5	1	0	0	0	1	0	1	0	3	3	3
USH2A	1	0	0	0	2	0	0	0	3	3	3
WHSC1L1	0	1	0	0	2	0	0	0	3	3	3
COL7A1	1	1	0	0	1	0	1	0	4	2	2
TRIOBP	0	0	0	0	4	0	0	0	4	2	2
COL5A2	0	0	0	0	2	0	1	0	3	2	2
FREM2	0	0	1	0	0	0	2	0	3	2	2
KDR	0	1	0	0	2	0	0	0	3	2	2
LYST	0	1	0	0	2	0	0	0	3	2	2
RB1	0	2	0	0	0	0	1	0	3	2	2
SDK1	2	0	0	0	1	0	0	0	3	2	2
THSD7A	0	0	0	0	3	0	0	0	3	2	2
UGT2B10	0	2	0	0	0	0	1	0	3	2	2
USP34	0	0	1	0	2	0	0	0	3	2	2
A1CF	1	0	0	0	0	0	1	0	2	2	2
ABCA1	1	0	0	0	1	0	0	0	2	2	2
ABCA12	0	1	0	0	1	0	0	0	2	2	2
ACSL1	1	0	0	0	1	0	0	0	2	2	2
ADAM29	0	1	0	0	1	0	0	0	2	2	2
AHNAK	1	0	0	0	1	0	0	0	2	2	2
AKAP9	2	0	0	0	0	0	0	0	2	2	2
ALPK3	0	0	0	0	2	0	0	0	2	2	2
ANKAR	1	0	0	0	1	0	0	0	2	2	2
ANKFN1	0	1	0	0	1	0	0	0	2	2	2
ANKRD11	0	1	1	0	0	0	0	0	2	2	2
ANO4	0	0	0	0	0	0	2	0	2	2	2
APBA1	0	0	0	0	1	0	1	0	2	2	2
APOB	0	0	1	0	1	0	0	0	2	2	2
ARHGEF5	1	0	0	0	1	0	0	0	2	2	2
ARID4B	1	0	0	0	0	0	0	1	2	2	2
ASXL2	1	0	0	0	0	0	1	0	2	2	2
B4GALNT4	0	0	0	0	0	0	2	0	2	2	2
BBOX1	0	0	0	0	1	0	1	0	2	2	2
BRPF1	1	1	0	0	0	0	0	0	2	2	2
BRWD1	1	1	0	0	0	0	0	0	2	2	2
BTBD11	2	0	0	0	0	0	0	0	2	2	2
BTBD9	0	0	0	0	1	0	1	0	2	2	2
C12orf55	1	0	0	0	0	0	1	0	2	2	2
C9	0	0	0	0	0	0	2	0	2	2	2
CA8	0	0	0	0	1	0	1	0	2	2	2
CACNA1G	1	0	1	0	0	0	0	0	2	2	2
CAD	1	0	0	0	1	0	0	0	2	2	2
CCDC108	1	1	0	0	0	0	0	0	2	2	2
CCDC110	0	0	0	0	1	0	1	0	2	2	2
CCDC132	1	0	0	0	1	0	0	0	2	2	2
CCDC178	0	0	0	0	1	0	1	0	2	2	2
CCNL2	1	0	1	0	0	0	0	0	2	2	2
CD5L	0	0	0	0	2	0	0	0	2	2	2
CDC20B	0	0	0	0	2	0	0	0	2	2	2
CDC27	1	0	0	0	1	0	0	0	2	2	2
CDH5	2	0	0	0	0	0	0	0	2	2	2
CEP152	1	0	0	0	1	0	0	0	2	2	2
CEP41	0	0	0	0	2	0	0	0	2	2	2
CHD4	1	0	0	0	0	0	1	0	2	2	2
CHRNA4	0	1	0	0	0	0	1	0	2	2	2
